ensgene,logFC,CI.L,CI.R,AveExpr,t,P.Value,adj.P.Val,B,symbol,description
ENSG00000189182,-3.907449774105234,-4.383941168931291,-3.4309583792791765,7.0301297969051655,-16.206842103694886,1.8700714890063133e-34,2.1698439486940254e-30,67.7902362896902,KRT77,keratin 77
ENSG00000169258,3.176543351886827,2.7895991330745824,3.5634875706990714,2.761374641956488,16.224319228990822,1.6893935152621482e-34,2.1698439486940254e-30,67.70515761867861,GPRIN1,G protein regulated inducer of neurite outgrowth 1
ENSG00000163202,5.940513470518173,5.2046934852721884,6.676333455764158,4.978845398604467,15.955575166564998,8.087205342353874e-34,6.255722905822133e-30,66.29362635533683,LCE3D,late cornified envelope 3D
ENSG00000172243,3.207176179866253,2.802041974165174,3.612310385567332,3.634703298901149,15.645302471503925,4.9764774625649606e-33,2.887103399907062e-29,64.4382190803525,CLEC7A,C-type lectin domain containing 7A
ENSG00000149418,1.0653613588824733,0.9297845166712684,1.2009382010936782,6.7743393066802815,15.530001044219881,9.799890651717949e-33,4.5483252492753344e-29,63.82983898797598,ST14,ST14 transmembrane serine protease matriptase
ENSG00000179403,1.3221065074243916,1.1516356990442864,1.4925773158044968,4.172808047654668,15.32768197111213,3.228202972978072e-32,1.2485613031821523e-28,62.67570923002923,VWA1,von Willebrand factor A domain containing 1
ENSG00000146072,2.5532947312950336,2.2158008169491477,2.8907886456409195,3.5404056302020943,14.95185447864686,2.9857386942309333e-31,9.89815030547472e-28,60.44119049229212,TNFRSF21,TNF receptor superfamily member 21
ENSG00000110092,-1.270122028344555,-1.4397582999932654,-1.1004857566958444,8.033826360901287,-14.797446827936747,7.473595516903334e-31,2.1679032195657345e-27,59.49616975648365,CCND1,cyclin D1
ENSG00000109861,2.308672547450101,1.999628262584246,2.617716832315956,6.467047775662187,14.763919912903669,9.123630499992278e-31,2.3524774375868977e-27,59.32427240390498,CTSC,cathepsin C
ENSG00000167207,1.3620804606786843,1.177789125737894,1.5463717956194745,5.1834715061449455,14.606894938507704,2.3252868239069836e-30,5.396060603558546e-27,58.43135173194288,NOD2,nucleotide binding oligomerization domain containing 2
ENSG00000146242,1.6486649957701824,1.4242513935132202,1.8730785980271447,4.749993307854886,14.519220428518166,3.9238575907142136e-30,8.277912659101276e-27,57.92155873396347,TPBG,trophoblast glycoprotein
ENSG00000147065,0.9949360055184719,0.8593186517237897,1.1305533593131543,7.88343686160004,14.499063111421364,4.4258285641625214e-30,8.558814804996288e-27,57.71318622092501,MSN,moesin
ENSG00000170379,1.6652404216967986,1.4374952125441556,1.8929856308494417,4.16603161080555,14.45066233009232,5.909980392944732e-30,1.0549769615282727e-26,57.51790820194651,TCAF2,TRPM8 channel associated factor 2
ENSG00000114999,0.9764358160011914,0.8420117939166365,1.1108598380857464,5.841057260558641,14.355782635206761,1.0423367495240799e-29,1.7277476149611284e-26,56.92245892852818,TTL,tubulin tyrosine ligase
ENSG00000084444,-1.5532442339798602,-1.768166715546033,-1.3383217524136874,4.64163592229334,-14.28295152398727,1.6119975649790974e-29,2.4938676995269954e-26,56.523653952439034,FAM234B,family with sequence similarity 234 member B
ENSG00000174136,-1.1534138713909439,-1.3131626453809326,-0.9936650974009552,6.204954366362756,-14.269465140862843,1.7476190512794318e-29,2.534702981499406e-26,56.40965489285159,RGMB,repulsive guidance molecule BMP co-receptor b
ENSG00000168461,1.9672019315521636,1.6943970466147038,2.2400068164896236,5.432924908919401,14.251377956894759,1.947629569441525e-29,2.658628928732943e-26,56.315715856522736,RAB31,"RAB31, member RAS oncogene family"
ENSG00000112559,2.6421276322706566,2.274901757448255,3.009353507093058,2.7257897050977573,14.219377284189028,2.359345630820142e-29,3.041720817156234e-26,56.02785488974019,MDFI,MyoD family inhibitor
ENSG00000146192,1.6834131822917144,1.4489023797609124,1.9179239848225165,3.6042770216671487,14.186913779853368,2.866249607611582e-29,3.5007467575912833e-26,55.94530750343171,FGD2,"FYVE, RhoGEF and PH domain containing 2"
ENSG00000134757,1.8949476579957905,1.630734278014468,2.159161037977113,8.703431045136211,14.174327733732596,3.0909501112650703e-29,3.5864294141008607e-26,55.75278389580651,DSG3,desmoglein 3
ENSG00000151715,1.791828447827296,1.5377458634375238,2.045911032217068,6.0633652225859285,13.937394331660006,1.2824132572156086e-28,1.393914714748098e-25,54.423309671932955,TMEM45B,transmembrane protein 45B
ENSG00000139629,2.1580304673618964,1.851748085511215,2.4643128492125776,5.005096323424186,13.925013169897573,1.3815409135226346e-28,1.393914714748098e-25,54.383908738267685,GALNT6,polypeptide N-acetylgalactosaminyltransferase 6
ENSG00000186832,5.581274245203008,4.789195031596149,6.373353458809866,8.06343010109333,13.925949150791947,1.3737860681218984e-28,1.393914714748098e-25,54.294658822736054,KRT16,keratin 16
ENSG00000147324,1.34191322507814,1.1503430708355333,1.5334833793207467,5.782063573635461,13.843842276282333,2.2514544851864576e-28,2.1769688659682054e-25,53.872364318941585,MFHAS1,multifunctional ROCO family signaling regulator 1
ENSG00000261609,-1.7418109216014166,-1.9916305444422702,-1.491991298760563,9.743679913525586,-13.779533645788133,3.3161163621711173e-28,3.078151852021718e-25,53.378857113852376,GAN,gigaxonin
ENSG00000118515,1.6836036444342195,1.441574831563893,1.925632457304546,6.782756283807301,13.747788591987211,4.014982459920622e-28,3.58352626788146e-25,53.25938171328398,SGK1,serum/glucocorticoid regulated kinase 1
ENSG00000172164,-2.6028226631872804,-2.9809258799393836,-2.224719446435177,4.784045106193193,-13.60486591665018,9.504562590942514e-28,7.410708649006336e-25,52.48738050984866,SNTB1,syntrophin beta 1
ENSG00000253161,2.391795760327809,2.0447369596262885,2.738854561029329,2.203932255495598,13.62012484997705,8.668648990912628e-28,7.410708649006336e-25,52.442016124943386,LINC01605,long intergenic non-protein coding RNA 1605
ENSG00000185966,5.804290432808036,4.961336619694047,6.647244245922024,3.2106012935552997,13.608348239209075,9.306950734863925e-28,7.410708649006336e-25,52.35534247560805,LCE3E,late cornified envelope 3E
ENSG00000174808,-4.548473056991854,-5.20927822787177,-3.887667886111939,4.158554443509656,-13.60354984712744,9.58033523529217e-28,7.410708649006336e-25,52.29073243596787,BTC,betacellulin
ENSG00000137648,4.0087149971116425,3.423134053125091,4.594295941098194,2.986790146994227,13.529392740059066,1.4988802876463655e-27,1.1220327727458567e-24,51.98422099845521,TMPRSS4,transmembrane serine protease 4
ENSG00000172201,-1.6603356322248732,-1.9031350761227703,-1.4175361883269761,6.979019776014319,-13.514757555515173,1.6373646466259602e-27,1.1873963746750634e-24,51.87589930679568,ID4,inhibitor of DNA binding 4
ENSG00000077684,-0.979010507875123,-1.1223859687488962,-0.8356350470013498,4.856761727293417,-13.494990551187477,1.8449698639284967e-27,1.2974051715855968e-24,51.82448763368298,JADE1,jade family PHD finger 1
ENSG00000153714,1.9744892823863944,1.6851523035906035,2.263826261182185,3.876820533173958,13.486861478238998,1.9378155660866363e-27,1.3226161184296024e-24,51.780736401676606,LURAP1L,leucine rich adaptor protein 1 like
ENSG00000169469,3.37946876047387,2.8837815219837175,3.875155998964022,6.020331764456193,13.47413072962579,2.0927108651787685e-27,1.3875270953525287e-24,51.65440168601776,SPRR1B,small proline rich protein 1B
ENSG00000164176,-1.77943689648944,-2.0420693208530882,-1.5168044721257916,4.6060435599595575,-13.39042333305477,3.47050296361898e-27,2.2371247714928346e-24,51.207055620353245,EDIL3,EGF like repeats and discoidin domains 3
ENSG00000163347,-1.160123777426234,-1.3316114832266277,-0.9886360716258406,8.897595708005788,-13.369999661610727,3.926598004240938e-27,2.4627198185517626e-24,50.93108800541026,CLDN1,claudin 1
ENSG00000099337,1.1800441727471433,1.0048924641387915,1.3551958813554952,6.171247945863776,13.315085053480859,5.473235467097325e-27,3.342418480248961e-24,50.682360807445065,KCNK6,potassium two pore domain channel subfamily K member 6
ENSG00000077238,1.920614845415125,1.6341991646270588,2.2070305262031913,5.269581424471871,13.252675031998871,7.984268121871883e-27,4.632073150903973e-24,50.34663264981916,IL4R,interleukin 4 receptor
ENSG00000188373,3.751121319710455,3.1914890149749615,4.310753624445948,4.097953607625458,13.247026126120947,8.2619460861554e-27,4.676261484763956e-24,50.34614285890399,GPR15LG,G protein-coupled receptor 15 ligand
ENSG00000165272,1.7010776715994815,1.4475897717552946,1.9545655714436685,9.510958906028451,13.262548019186118,7.521199518681599e-27,4.475306564885261e-24,50.24785029695401,AQP3,aquaporin 3 (Gill blood group)
ENSG00000064932,1.3595933886603433,1.156247221888321,1.5629395554323655,5.889538894986309,13.213963795978254,1.0092396482418581e-26,5.576289351690609e-24,50.08616588961315,SBNO2,strawberry notch homolog 2
ENSG00000029153,1.385047540122775,1.1776953846394442,1.592399695606106,6.803033709151682,13.201284315209522,1.0897604042307542e-26,5.881158125716019e-24,49.97298637631712,BMAL2,basic helix-loop-helix ARNT like 2
ENSG00000184557,3.023782350470745,2.570205650036721,3.477359050904769,3.7490665387493904,13.17527985950962,1.2755910665251189e-26,6.727583247677706e-24,49.92000872006216,SOCS3,suppressor of cytokine signaling 3
ENSG00000168884,1.0418641924916092,0.8855038511347048,1.1982245338485136,4.077158641239856,13.168750238851748,1.3270387545187854e-26,6.843391408302874e-24,49.87899023788205,TNIP2,TNFAIP3 interacting protein 2
ENSG00000140254,1.2735481395330925,1.0800082025812987,1.4670880764848864,5.9065934999498175,13.00483448047626,3.5827983909653e-26,1.807443901320451e-23,48.82318394706584,DUOXA1,dual oxidase maturation factor 1
ENSG00000184613,3.789763072878098,3.2127369583486214,4.366789187407575,3.894879120795594,12.98005849995472,4.163522423161099e-26,2.0128896114974263e-23,48.74889972808508,NELL2,neural EGFL like 2
ENSG00000158786,1.9102704909226054,1.6192933114345485,2.201247670410662,4.776386647022446,12.974660287971385,4.302060433176487e-26,2.0374207022917053e-23,48.692595925778875,PLA2G2F,phospholipase A2 group IIF
ENSG00000164430,1.8466987090432425,1.5657838876967576,2.1276135303897274,1.5867118009169872,12.992162698926313,3.8689008859880464e-26,1.910249233196566e-23,48.568560877414754,CGAS,cyclic GMP-AMP synthase
ENSG00000100504,1.4141649670885066,1.1956270621080507,1.6327028720689625,6.13400607142688,12.788904888096802,1.3277728933790418e-25,6.041627012500793e-23,47.5143620523508,PYGL,glycogen phosphorylase L
ENSG00000074590,-1.6854514490502792,-1.9465880453699025,-1.424314852730656,5.78342309752627,-12.755825403872183,1.6230743347030229e-25,7.24328134829199e-23,47.368022860680185,NUAK1,NUAK family kinase 1
ENSG00000196639,1.7462341525275007,1.4744899012673862,2.017978403787615,4.097659081773036,12.69995467529346,2.2786409285684554e-25,9.977007809124449e-23,47.05601364977982,HRH1,histamine receptor H1
ENSG00000151006,4.950405113585373,4.179771614859546,5.7210386123112,3.0115640418420586,12.695590793764776,2.3398372583346813e-25,1.00552339660953e-22,47.001613737054385,PRSS53,serine protease 53
ENSG00000041982,2.5069202537475617,2.1157404973313794,2.898100010163744,5.89409498399143,12.665554432702693,2.8081038758795975e-25,1.1636581882796776e-22,46.763552673902154,TNC,tenascin C
ENSG00000154845,1.0383386711298748,0.8763182333896177,1.2003591088701318,7.158144697743407,12.665702599167673,2.8055778226689225e-25,1.1636581882796776e-22,46.730244684225866,PPP4R1,protein phosphatase 4 regulatory subunit 1
ENSG00000112293,-1.824305212428496,-2.1099274110926913,-1.5386830137643006,5.420161941624395,-12.62308770289252,3.634521256934392e-25,1.4356423779460284e-22,46.59184666589688,GPLD1,glycosylphosphatidylinositol specific phospholipase D1
