ensgene,logFC,CI.L,CI.R,AveExpr,t,P.Value,adj.P.Val,B,symbol,description
ENSG00000189182,-3.021414507602148,-3.544026302248647,-2.4988027129556487,7.0301297969051655,-11.425919548367403,5.280362724717609e-22,1.1502788739314485e-17,39.40874385934186,KRT77,keratin 77
ENSG00000163202,3.7853900556573636,3.124640697160277,4.44613941415445,4.978845398604467,11.322281420957518,9.913633318378424e-22,1.1502788739314485e-17,38.79829544654641,LCE3D,late cornified envelope 3D
ENSG00000149418,0.869270728961812,0.7162198721971015,1.0223215857265227,6.7743393066802815,11.224819066470525,1.7921942188612024e-21,1.3863219680964354e-17,38.17208584666686,ST14,ST14 transmembrane serine protease matriptase
ENSG00000174808,-3.8001339402506065,-4.492414756094231,-3.1078531244069825,4.158554443509656,-10.848674172571535,1.7555858845559656e-20,1.0039185145575986e-16,35.82078236210272,BTC,betacellulin
ENSG00000110092,-1.0368680813709288,-1.226359035412062,-0.8473771273297956,8.033826360901287,-10.81421704340153,2.1630580766991265e-20,1.0039185145575986e-16,35.679507122172225,CCND1,cyclin D1
ENSG00000146242,1.3675375863898633,1.1148701992244643,1.6202049735552624,4.749993307854886,10.696708007795552,4.4054153208675714e-20,1.7038677989342142e-16,35.06814471148953,TPBG,trophoblast glycoprotein
ENSG00000160703,1.2649529029767237,1.0292380776548489,1.5006677282985985,5.34429027361029,10.60589971315103,7.629040963040778e-20,2.5291360655474904e-16,34.51263426601954,NLRX1,NLR family member X1
ENSG00000169258,2.1627744721471167,1.7506746117499077,2.5748743325443257,2.761374641956488,10.372150887627077,3.1278015638884346e-19,9.072970386449376e-16,33.12529655260238,GPRIN1,G protein regulated inducer of neurite outgrowth 1
ENSG00000170379,1.330130419746283,1.0758544053426038,1.5844064341499624,4.16603161080555,10.338294245937318,3.835729824846922e-19,9.594942900579053e-16,32.94465165439077,TCAF2,TRPM8 channel associated factor 2
ENSG00000197641,1.8151905923858305,1.4677688086226226,2.1626123761490383,6.7124467367509695,10.325836517926103,4.1346819359558107e-19,9.594942900579053e-16,32.79695427942579,SERPINB13,serpin family B member 13
ENSG00000146072,1.9181020216841103,1.5456493388476953,2.2905547045205252,3.5404056302020943,10.17795800784939,1.0067408347824028e-18,2.1238570738145853e-15,31.999839387323487,TNFRSF21,TNF receptor superfamily member 21
ENSG00000125571,-2.815218124460813,-3.3662784710781146,-2.2641577778435114,4.734516890332645,-10.096548768582725,1.6417968660376409e-18,3.1749615061057912e-15,31.511541934545196,IL37,interleukin 37
ENSG00000168490,-2.93345928414605,-3.5155900361858428,-2.351328532106257,3.6666895891738487,-9.959088255082118,3.7439897228883385e-18,6.267415877317776e-15,30.618903240319398,PHYHIP,phytanoyl-CoA 2-hydroxylase interacting protein
ENSG00000172201,-1.361764950599638,-1.6320452602063724,-1.0914846409929038,6.979019776014319,-9.957442399647787,3.7810834388713636e-18,6.267415877317776e-15,30.607324280093668,ID4,inhibitor of DNA binding 4
ENSG00000185966,3.9238801892483464,3.1415348757755743,4.706225502721118,3.2106012935552997,9.912365592338814,4.9526029354551005e-18,7.66200691467807e-15,30.4263971282819,LCE3E,late cornified envelope 3E
ENSG00000253161,1.9475058853548937,1.5586907543912112,2.336321016318576,2.203932255495598,9.899099281043199,5.3618328294477295e-18,7.77666829001025e-15,30.270139485361938,LINC01605,long intergenic non-protein coding RNA 1605
ENSG00000186832,4.352761774881786,3.4783016638436357,5.227221885919937,8.06343010109333,9.83750472347813,7.749820277884977e-18,9.99124052047771e-15,29.838089198809307,KRT16,keratin 16
ENSG00000171124,2.732109887510455,2.1839102762698586,3.280309498751051,1.3289727306877628,9.84962051452649,7.208382726690926e-18,9.839866444446449e-15,29.59883652423716,FUT3,fucosyltransferase 3 (Lewis blood group)
ENSG00000169469,2.7440314006727533,2.1894670581069424,3.298595743238564,6.020331764456193,9.779061863678935,1.0987888090578745e-17,1.3420259527893178e-14,29.58105957097424,SPRR1B,small proline rich protein 1B
ENSG00000164176,-1.423743338914258,-1.7122176151230364,-1.1352690627054796,4.6060435599595575,-9.754043125656631,1.2757634055649419e-17,1.480268279477002e-14,29.504507331386932,EDIL3,EGF like repeats and discoidin domains 3
