ensgene,logFC,CI.L,CI.R,AveExpr,t,P.Value,adj.P.Val,B,symbol,description
ENSG00000164236,3.008240793197728,2.6831278245969066,3.33335376179855,5.390539866617115,18.286827202128684,1.331071737197263e-39,3.0888850733399684e-35,79.22710930960325,ANKRD33B,ankyrin repeat domain 33B
ENSG00000115919,-3.8280617566151447,-4.343932469416037,-3.3121910438142526,2.4002437136773573,-14.665542114073586,1.6391638096426073e-30,1.9019217683283173e-26,58.60731477857111,KYNU,kynureninase
ENSG00000167759,-2.8876197855986776,-3.2806607984023057,-2.4945787727950495,3.7490145497157235,-14.519852252776742,3.9090814440434936e-30,3.0238047996824437e-26,57.89867140037485,KLK13,kallikrein related peptidase 13
ENSG00000105854,-1.1171522057259695,-1.2712444083320658,-0.9630600031198733,5.58177033176542,-14.328203558950278,1.2293960872841821e-29,7.132341400379182e-26,56.79231114320832,PON2,paraoxonase 2
ENSG00000196743,-1.4375173743141225,-1.6365186942650567,-1.2385160543631883,8.352037466273265,-14.276350569873314,1.6770068980480238e-29,7.783324415220487e-26,56.43452073989738,GM2A,ganglioside GM2 activator
ENSG00000149090,3.4140860278838203,2.934706739146779,3.8934653166208615,4.456291603243873,14.075221956500192,5.602257736407164e-29,2.166766550517744e-25,55.07105942105921,PAMR1,peptidase domain containing associated with muscle regeneration 1
ENSG00000170545,-1.2032396068297335,-1.3760150898275465,-1.0304641238319205,4.1815744912337935,-13.76353722885432,3.651552114213247e-28,1.2105416908918944e-24,53.42078299715562,SMAGP,small cell adhesion glycoprotein
ENSG00000136688,-2.8456342134315893,-3.255042242728692,-2.4362261841344868,4.92665766318865,-13.736711478864946,4.292108741853973e-28,1.2450334432932911e-24,53.26484374403302,IL36G,interleukin 36 gamma
ENSG00000143320,-2.15677680942109,-2.4692212154253323,-1.8443324034168476,6.315388842647781,-13.642454381869717,7.576263995626853e-28,1.9534975809168526e-24,52.68473509808945,CRABP2,cellular retinoic acid binding protein 2
ENSG00000131620,1.5375090027860843,1.3123566526886683,1.7626613528835002,6.864828638733996,13.495881043251263,1.8350738371267245e-27,4.258472346436277e-24,51.810135187322,ANO1,anoctamin 1
ENSG00000133110,3.1295365207699897,2.6670025732691727,3.5920704682708067,8.048202575607732,13.372003126106051,3.8793215289423936e-27,8.183957763694289e-24,51.058580929835095,POSTN,periostin
ENSG00000101311,-1.4987281129338479,-1.7209599246694496,-1.2764963011982462,6.787475650115355,-13.328359109651213,5.050975174500524e-27,9.767744158288263e-24,50.80211408079454,FERMT1,FERM domain containing kindlin 1
ENSG00000213927,3.076723630484565,2.6036741884875836,3.549773072481546,5.079294400194532,12.854109971426341,8.938300430237503e-26,1.59555538295455e-22,47.97668092899577,CCL27,C-C motif chemokine ligand 27
ENSG00000185624,-0.799129045115329,-0.922524558776285,-0.675733531454373,8.883456046476358,-12.799046125767688,1.2485021811629836e-25,2.0694815440048714e-22,47.558411462157494,P4HB,prolyl 4-hydroxylase subunit beta
ENSG00000143153,-2.4021863852925627,-2.774099064320913,-2.030273706264212,6.2587513403610044,-12.765145679443812,1.5337826681075938e-25,2.3728640397403213e-22,47.42177991041245,ATP1B1,ATPase Na+/K+ transporting subunit beta 1
ENSG00000008311,-1.5582485323815618,-1.802309273071927,-1.3141877916911966,4.784053340136531,-12.618242227461169,3.743102344452466e-25,5.109554882668466e-22,46.57152744980993,AASS,aminoadipate-semialdehyde synthase
ENSG00000268104,-3.5102647989198275,-4.062014596770937,-2.9585150010687173,4.855094117706636,-12.573545415894284,4.911045808706193e-25,6.331429390935329e-22,46.28787502600159,SLC6A14,solute carrier family 6 member 14
ENSG00000180871,-2.619900880464064,-3.032836486547613,-2.2069652743805155,2.911906945674619,-12.53899089763834,6.058547041287601e-25,7.399718033690531e-22,45.996553315909644,CXCR2,C-X-C motif chemokine receptor 2
ENSG00000274605,-2.275386347977104,-2.63135158607227,-1.9194211098819383,1.0793665411596491,-12.633032625789179,3.4214405547206324e-25,4.962371844552937e-22,45.91661998774512,PCCA-DT,PCCA divergent transcript
ENSG00000164687,-2.115276341811173,-2.4506835590739695,-1.7798691245483762,8.225432535904035,-12.463923281967626,9.56146548037215e-25,1.1094168396875805e-21,45.53077437643071,FABP5,fatty acid binding protein 5
ENSG00000148053,2.132189190054026,1.7922346166218217,2.4721437634862307,5.186070590939734,12.395524486794695,1.449177419541486e-24,1.6014100570418915e-21,45.23555197023087,NTRK2,neurotrophic receptor tyrosine kinase 2
ENSG00000130592,1.7005591228257986,1.4287645267924534,1.9723537188591438,5.9726360256139825,12.365479917970418,1.7396505886601904e-24,1.8350150709294718e-21,45.054608229247506,LSP1,lymphocyte specific protein 1
ENSG00000159337,-2.5896782096943376,-3.004419562936229,-2.174936856452446,5.358340200218523,-12.340379644258503,2.0265206333952575e-24,2.0446712095030583e-21,44.866449380765644,PLA2G4D,phospholipase A2 group IVD
ENSG00000163874,-2.021032942632689,-2.3451106388760867,-1.6969552463892916,5.05019974209529,-12.324925652152228,2.2262132489259764e-24,2.1280029561805597e-21,44.78315071406468,ZC3H12A,zinc finger CCCH-type containing 12A
ENSG00000165389,-1.2686573709916251,-1.4721694399465775,-1.0651453020366728,5.784257028089167,-12.32010009259576,2.2925137423301728e-24,2.1280029561805597e-21,44.74828905663541,SPTSSA,serine palmitoyltransferase small subunit A
ENSG00000145431,1.6765848041506266,1.4062584354707854,1.9469111728304678,4.154515326174314,12.257366549392032,3.3575029132849105e-24,2.9967004848342167e-21,44.398873467255,PDGFC,platelet derived growth factor C
ENSG00000111907,-1.1326841971185795,-1.3157618680089032,-0.9496065262282558,5.130743036741976,-12.22738315128981,4.029237024092451e-24,3.463054606707015e-21,44.221073674963144,TPD52L1,TPD52 like 1
ENSG00000213145,2.1386285074012528,1.792142058405879,2.4851149563966266,5.664719537380563,12.198576553664989,4.800925356312722e-24,3.978938350664037e-21,44.06040760901659,CRIP1,cysteine rich protein 1
ENSG00000058668,0.8110132805070132,0.6793454282468205,0.9426811327672058,8.687891389529248,12.17329854386353,5.59897370264189e-24,4.480337370465783e-21,43.7962488765107,ATP2B4,ATPase plasma membrane Ca2+ transporting 4
ENSG00000104267,2.5211836259064677,2.1112761769873143,2.931091074825621,6.178695662629591,12.155665089634027,6.232997475023272e-24,4.821431313513001e-21,43.75945908999802,CA2,carbonic anhydrase 2
ENSG00000111816,-1.1790314615600614,-1.372411602255442,-0.9856513208646808,4.679606096688399,-12.049626371969776,1.1881737882060514e-23,8.894439009390203e-21,43.16514432071661,FRK,fyn related Src family tyrosine kinase
ENSG00000136114,-1.236143449912455,-1.4389861791348302,-1.03330072069008,2.9868485509129177,-12.043965012675423,1.2298147275645214e-23,8.918462677456963e-21,43.024311827077184,THSD1,thrombospondin type 1 domain containing 1
ENSG00000109099,1.8690032285066165,1.561189882337407,2.1768165746758257,5.910408840652258,12.000039182285459,1.6066174280032778e-23,1.1297928495225475e-20,42.84668016438606,PMP22,peripheral myelin protein 22
ENSG00000064309,1.461353517170152,1.2204434251278897,1.7022636092124142,6.284487232485737,11.98837596134274,1.7247759933903444e-23,1.177210344194598e-20,42.77065401627844,CDON,"cell adhesion associated, oncogene regulated"
ENSG00000198947,1.3289876972175216,1.1096511794805668,1.5483242149544765,5.5860937641699024,11.974849805118911,1.8727333445907342e-23,1.2416757141306452e-20,42.70242416683951,DMD,dystrophin
ENSG00000271447,1.4652438966827344,1.222392478541861,1.7080953148236078,5.220337520683898,11.924202307470269,2.5486747394984564e-23,1.6429040556889217e-20,42.40208268787019,MMP28,matrix metallopeptidase 28
ENSG00000136695,-1.5160812523987195,-1.769518729075818,-1.262643775721621,7.450957477048869,-11.822564716254814,4.730357211165872e-23,2.966828903846357e-20,41.68640933478255,IL36RN,interleukin 36 receptor antagonist
ENSG00000089057,-1.628594507224439,-1.9019891081075369,-1.3551999063413411,5.527350266041933,-11.772890118968165,6.399619600758907e-23,3.9081466435581896e-20,41.46313665210703,SLC23A2,solute carrier family 23 member 2
ENSG00000153714,1.794870668558016,1.4866049432742556,2.103136393841776,3.876820533173958,11.507155420935064,3.2222219351451164e-22,1.873969690332381e-19,39.91027635285345,LURAP1L,leucine rich adaptor protein 1 like
ENSG00000171488,1.1688803624893556,0.967809023665741,1.3699517013129703,5.207067195409045,11.488939734135137,3.5996481809107725e-22,2.0374008703954972e-19,39.78759414268883,LRRC8C,leucine rich repeat containing 8 VRAC subunit C
ENSG00000121552,-1.4415560268443546,-1.689149306131786,-1.1939627475569232,8.66748110415708,-11.50675146265945,3.23014684190706e-22,1.873969690332381e-19,39.750490970705,CSTA,cystatin A
ENSG00000171711,-5.000966431691575,-5.863442162778488,-4.138490700604662,1.7764193070437355,-11.459538143930176,4.304263769713772e-22,2.3782082152375664e-19,39.60719963446914,DEFB4A,defensin beta 4A
ENSG00000162981,-1.02295234532503,-1.1994726379888325,-0.8464320526612275,6.6547893055602545,-11.453041176895955,4.477689353067434e-22,2.4164943983089034e-19,39.49337674053668,LRATD1,LRAT domain containing 1
