ensgene,logFC,CI.L,CI.R,AveExpr,t,P.Value,adj.P.Val,B,symbol,description
ENSG00000164236,2.890235742599471,2.495656701018232,3.28481478418071,5.390539866617115,14.476357927393785,5.068748128777561e-30,1.176253690764121e-25,57.31422626299837,ANKRD33B,ankyrin repeat domain 33B
ENSG00000133110,3.213710534342529,2.6033582204881696,3.824062848196889,8.048202575607732,10.406057459051516,2.5495336861532555e-19,2.9582239360436222e-15,33.333524973156784,POSTN,periostin
ENSG00000008311,-1.8345727691356357,-2.1896262335678953,-1.4795193047033763,4.784053340136531,-10.211775225449061,8.215039091242048e-19,4.966629247454181e-15,32.1877680389738,AASS,aminoadipate-semialdehyde synthase
ENSG00000149090,2.9175302824904334,2.352507525136625,3.482553039844242,4.456291603243873,10.204917330343282,8.560939838755807e-19,4.966629247454181e-15,32.05051988727134,PAMR1,peptidase domain containing associated with muscle regeneration 1
ENSG00000105854,-1.09092187452348,-1.3039559987396099,-0.8778877503073503,5.58177033176542,-10.12055975624105,1.4213499336634377e-18,6.5967693121187465e-15,31.663072319295015,PON2,paraoxonase 2
ENSG00000130592,1.7448578147118852,1.393825928466752,2.0958897009570183,5.9726360256139825,9.823664766517634,8.418075594158586e-18,3.006160828896854e-14,29.918795072577986,LSP1,lymphocyte specific protein 1
ENSG00000213145,2.1750741961502813,1.7369359071473316,2.6132124851532312,5.664719537380563,9.811218027666078,9.067967681753846e-18,3.006160828896854e-14,29.84580163455049,CRIP1,cysteine rich protein 1
ENSG00000213927,2.8286759816384026,2.245350012845811,3.4120019504309944,5.079294400194532,9.583672194410264,3.520066051998752e-17,1.021083160033538e-13,28.50787497414611,CCL27,C-C motif chemokine ligand 27
ENSG00000109099,1.8728417617395117,1.466071728739853,2.2796117947391705,5.910408840652258,9.099388188335656,6.167343935161351e-16,1.4311938335935431e-12,25.707539777526428,PMP22,peripheral myelin protein 22
ENSG00000196743,-1.2869455641741823,-1.566288077447623,-1.0076030509007414,8.352037466273265,-9.105068126429028,5.964895805479233e-16,1.4311938335935431e-12,25.675926805145238,GM2A,ganglioside GM2 activator
ENSG00000145431,1.53473598029908,1.1859834826095148,1.8834884779886454,4.154515326174314,8.697138912471779,6.463031825531506e-15,1.3634646958480375e-11,23.419638662545275,PDGFC,platelet derived growth factor C
ENSG00000157368,1.9550205669016312,1.5048550479684577,2.4051860858348046,4.405644834455443,8.583000989238327,1.2518437364787012e-14,2.4208571457270614e-11,22.764396189301504,IL34,interleukin 34
ENSG00000143153,-2.261009951250103,-2.789414947354194,-1.7326049551460123,6.2587513403610044,-8.456596656638942,2.5951584942441112e-14,4.4011459762230786e-11,22.029228404402595,ATP1B1,ATPase Na+/K+ transporting subunit beta 1
ENSG00000171444,0.8131094679627706,0.6229939417761028,1.0032249941494384,7.448943452176238,8.452622835491574,2.655177267393049e-14,4.4011459762230786e-11,21.97141587670224,MCC,MCC regulator of WNT signaling pathway
ENSG00000143772,0.8030812997998691,0.6144714014968456,0.9916911981028925,5.490687158441968,8.415018806272741,3.2959711924910085e-14,4.83769798879466e-11,21.821013768826024,ITPKB,inositol-trisphosphate 3-kinase B
ENSG00000163347,1.073742970456724,0.8215038959814649,1.3259820449319832,8.897595708005788,8.412944579027199,3.335480816199024e-14,4.83769798879466e-11,21.70949829745341,CLDN1,claudin 1
ENSG00000185624,-0.7279685267143758,-0.8993269690824601,-0.5566100843462916,8.883456046476358,-8.3958980428901,3.678516519156579e-14,5.021391431973386e-11,21.604140435014507,P4HB,prolyl 4-hydroxylase subunit beta
ENSG00000183048,-1.1359939912201331,-1.4044457910217036,-0.8675421914185626,3.636882590488984,-8.363147814342046,4.438884284069393e-14,5.72270826089524e-11,21.539913846856994,SLC25A10,solute carrier family 25 member 10
ENSG00000171488,1.1235295655471198,0.8566953282997454,1.3903638027944942,5.207067195409045,8.321526703277225,5.6341362545831096e-14,6.881356101255561e-11,21.30433403679539,LRRC8C,leucine rich repeat containing 8 VRAC subunit C
ENSG00000101311,-1.2968013320504719,-1.6056594967057334,-0.9879431673952104,6.787475650115355,-8.298018908632214,6.445246029627686e-14,7.478418968177004e-11,21.118543220447574,FERMT1,FERM domain containing kindlin 1
ENSG00000271447,1.3565783977544879,1.031766253780368,1.6813905417286077,5.220337520683898,8.254156472806216,8.280973743956613e-14,9.150870319155103e-11,20.92584667778818,MMP28,matrix metallopeptidase 28
ENSG00000089057,-1.5903628486961754,-1.9776131645643065,-1.2031125328280443,5.527350266041933,-8.116419765798701,1.8137858814343294e-13,1.8300310941115237e-10,20.148641706855745,SLC23A2,solute carrier family 23 member 2
ENSG00000198947,1.1790319920124963,0.8887815154290424,1.4692824685959502,5.5860937641699024,8.028098761170527,2.991379681223528e-13,2.892414870103049e-10,19.66169439327379,DMD,dystrophin
