ensgene,logFC,CI.L,CI.R,AveExpr,t,P.Value,adj.P.Val,B,symbol,description
ENSG00000180720,-1.692572071686503,-2.168174199064803,-1.216969944308203,0.5632864884072721,-7.033369608926467,7.199564685266656e-11,1.6707309808629801e-6,13.783930312063413,CHRM4,cholinergic receptor muscarinic 4
ENSG00000159516,2.8633027916425067,2.00011687147642,3.726488711808593,6.680752586288183,6.555759115656876,8.914266843122553e-10,7.464321256448535e-6,11.985863078039737,SPRR2G,small proline rich protein 2G
ENSG00000083857,0.7165269410449291,0.48653036397121424,0.946523518118644,8.658046079788948,6.157029156345741,6.798077196921305e-9,3.155123588635116e-5,9.923547231801852,FAT1,FAT atypical cadherin 1
ENSG00000309250,1.9259784754548748,1.2955523959404482,2.5564045549693013,-1.2718683238039623,6.0377804515551485,1.231629768914982e-8,4.763533402906845e-5,7.473483349625572,,novel transcript
ENSG00000172243,1.2781224192092695,0.8272153651066092,1.7290294733119298,3.634703298901149,5.602030664598356,1.0213126906501372e-7,2.1545983908388257e-4,7.435329709044086,CLEC7A,C-type lectin domain containing 7A
ENSG00000152785,-1.6857813622076603,-2.2705548452071858,-1.101007879208135,-0.7011501617233953,-5.697359651620067,6.480011192837334e-8,1.5037513974098317e-4,7.224120327332456,BMP3,bone morphogenetic protein 3
ENSG00000181374,1.730398097039789,1.103178460235489,2.357617733844089,1.43413202921712,5.452384075931776,2.0668800734239992e-7,3.197601265591822e-4,6.575056883491776,CCL13,C-C motif chemokine ligand 13
ENSG00000203785,1.4885079266195627,0.945178865109336,2.0318369881297893,7.768820250658764,5.414374294119952,2.467642950411434e-7,3.349147920777428e-4,6.5264460435872165,SPRR2E,small proline rich protein 2E
ENSG00000165269,1.4195840667820505,0.9110491661990001,1.928118967365101,-0.7410843047959331,5.516967315327412,1.526845850574893e-7,2.725537292956997e-4,6.493945552756346,AQP7,aquaporin 7
ENSG00000128342,-1.0617665946696453,-1.455530655518467,-0.6680025338208235,1.6141966134504906,-5.329089827272349,3.662529517227652e-7,3.901654364680098e-4,6.215611581179265,LIF,LIF interleukin 6 family cytokine
ENSG00000158246,0.6123893412486883,0.384379408800018,0.8403992736973586,6.772411606520546,5.308036685628361,4.035150596928482e-7,3.901654364680098e-4,6.054544501365075,TENT5B,terminal nucleotidyltransferase 5B
ENSG00000163202,2.155123414860809,1.3440239984372302,2.9662228312843877,4.978845398604467,5.2511946276726125,5.235458141719365e-7,4.4490849173103435e-4,5.959055323237788,LCE3D,late cornified envelope 3D
ENSG00000186207,-0.9437119395578524,-1.299990282835932,-0.5874335962797728,3.696559956747446,-5.234920420465279,5.638911430313151e-7,4.4490849173103435e-4,5.8435620406357955,LCE5A,late cornified envelope 5A
ENSG00000283992,0.7780974570917643,0.4840993403437696,1.0720955738397588,5.148117725128698,5.230575871448631,5.751639555257705e-7,4.4490849173103435e-4,5.82574767117242,SLURP2,secreted LY6/PLAUR domain containing 2
ENSG00000229153,1.144374665954599,0.7162461899087051,1.572503142000493,0.9996004723160408,5.282678473670511,4.533215778730657e-7,4.207912214448945e-4,5.775783622118357,EPHA1-AS1,EPHA1 antisense RNA 1
ENSG00000178776,-1.0694926447690136,-1.4733617538472248,-0.6656235356908025,5.046858911384999,-5.233560203122732,5.673971625698021e-7,4.4490849173103435e-4,5.7695397276997,C5orf46,chromosome 5 open reading frame 46
ENSG00000171119,0.8314665891053343,0.5148621454991787,1.1480710327114898,1.4305652346699866,5.190244957646149,6.908442868107526e-7,5.009916412415726e-4,5.572830894806317,NRTN,neurturin
ENSG00000114854,-1.2227281976634639,-1.6853725438798288,-0.760083851447099,-0.05208539887281884,-5.223273021199793,5.946090386805516e-7,4.45112817794222e-4,5.547551954754697,TNNC1,"troponin C1, slow skeletal and cardiac type"
ENSG00000198046,-0.9717583967511814,-1.3433202196769638,-0.6001965738253989,1.3149552745962103,-5.168770812386106,7.613767502192024e-7,5.354093595632366e-4,5.507400590124481,ZNF667,zinc finger protein 667
ENSG00000198300,-0.959198679366517,-1.328265940878529,-0.5901314178545052,3.071618428651368,-5.1364505138674135,8.809186127530114e-7,5.840742093584681e-4,5.4767218826680795,PEG3,paternally expressed 3
ENSG00000275385,2.8145476474721614,1.7269727088643574,3.9021225860799653,1.4124083252966595,5.114574068404393,9.719940092780718e-7,6.265581383140815e-4,5.145021613624582,CCL18,C-C motif chemokine ligand 18
