ensgene,logFC,CI.L,CI.R,AveExpr,t,P.Value,adj.P.Val,B,symbol,description
ENSG00000163347,-2.174018733934985,-2.3257888205697634,-2.0222486473002066,8.897595708005788,-28.30982330211111,3.4553954180497e-61,8.018590607126135e-57,129.071575057845,CLDN1,claudin 1
ENSG00000164687,3.617437434632837,3.3404000505227507,3.8944748187429234,8.225432535904035,25.806119813003527,2.7600030328070247e-56,3.2024315189659906e-52,117.81357638111515,FABP5,fatty acid binding protein 5
ENSG00000164236,-3.7062851932735206,-3.992164228283994,-3.420406158263047,5.390539866617115,-25.622209961407503,6.503863378392439e-56,5.030955118632498e-52,116.61235636262515,ANKRD33B,ankyrin repeat domain 33B
ENSG00000146242,2.4465972232877076,2.254734669107096,2.638459777468319,4.749993307854886,25.201843790051317,4.68269989715239e-55,2.716668345332959e-51,114.9322589997648,TPBG,trophoblast glycoprotein
ENSG00000136688,4.933434968937448,4.544340131116243,5.322529806758652,4.92665766318865,25.058438077547052,9.226386570875416e-55,4.282150535274698e-51,114.25013372513284,IL36G,interleukin 36 gamma
ENSG00000196743,2.0197731740704814,1.8591196389413474,2.1804267091996152,8.352037466273265,24.846909137082097,2.520066279222741e-54,9.746776345940488e-51,113.30704383508497,GM2A,ganglioside GM2 activator
ENSG00000163874,3.530700173974263,3.243763092962727,3.817637254985799,5.05019974209529,24.31835654369144,3.176394684353539e-53,1.0530202149301176e-49,110.7675034805824,ZC3H12A,zinc finger CCCH-type containing 12A
ENSG00000174136,-1.7293888124800274,-1.8710128128861585,-1.5877648120738963,6.204954366362756,-24.13325190598664,7.776698330743025e-53,2.2558257682902828e-49,109.8905571948894,RGMB,repulsive guidance molecule BMP co-receptor b
ENSG00000110092,-1.791054669130708,-1.938775122459278,-1.6433342158021382,8.033826360901287,-23.962287195437867,1.784639831444664e-52,4.601594658722764e-49,109.0675679040928,CCND1,cyclin D1
ENSG00000121742,3.7530944046047248,3.4378403794877763,4.068348429721674,6.8933729224363605,23.52821103970409,1.4943110681549092e-51,3.467698264760282e-48,106.94942505685648,GJB6,gap junction protein beta 6
ENSG00000165474,5.122763512259178,4.691481534149549,5.554045490368807,7.834941436456847,23.474862402647272,1.9433720949913947e-51,4.0998084396700275e-48,106.67687865761593,GJB2,gap junction protein beta 2
ENSG00000136695,2.412749831401526,2.205863795780169,2.6196358670228834,7.450957477048869,23.048420825403415,1.6076680650806613e-50,2.9779407402747933e-47,104.57185453835969,IL36RN,interleukin 36 receptor antagonist
ENSG00000185624,1.1606767350142366,1.0611201288651404,1.2602333411633329,8.883456046476358,23.040996327803022,1.668242248710347e-50,2.9779407402747933e-47,104.51586687943207,P4HB,prolyl 4-hydroxylase subunit beta
ENSG00000105835,2.8969033030567823,2.6468529094824977,3.146953696631067,7.820038974379328,22.89636369919265,3.4336786290252457e-50,5.691567590368561e-47,103.8083383668174,NAMPT,nicotinamide phosphoribosyltransferase
ENSG00000143320,2.927415253392809,2.67284693373961,3.1819835730460078,6.315388842647781,22.726891263484102,8.026671517291791e-50,1.2417795948684888e-46,102.97967228162489,CRABP2,cellular retinoic acid binding protein 2
ENSG00000162366,2.1456912213396384,1.9587132647088024,2.3326691779704745,5.764266437098172,22.679677443609922,1.0175361709982477e-49,1.4054678577606974e-46,102.74864859620743,PDZK1IP1,PDZK1 interacting protein 1
ENSG00000149573,2.4547376309440914,2.2408069010932983,2.6686683607948845,6.641783627110946,22.677332410002556,1.02960241239041e-49,1.4054678577606974e-46,102.73050298406419,MPZL2,myelin protein zero like 2
ENSG00000167759,3.979253824686427,3.631326674695965,4.32718097467689,3.7490145497157235,22.603379741353354,1.4937436949850266e-49,1.925767565879029e-46,102.27178152079955,KLK13,kallikrein related peptidase 13
ENSG00000159337,4.074592298054382,3.7141331496644328,4.435051446444331,5.358340200218523,22.34025706638705,5.645095934561988e-49,6.620971489835151e-46,101.04168455585312,PLA2G4D,phospholipase A2 group IVD
ENSG00000105427,2.7554678112531397,2.511624882525397,2.9993107399808823,6.454320546057958,22.332905834363256,5.8594486950822234e-49,6.620971489835151e-46,100.99847987334157,CNFN,cornifelin
ENSG00000160703,1.9817297977929247,1.8063236578580653,2.157135937727784,5.34429027361029,22.328508126556162,5.9915712008333266e-49,6.620971489835151e-46,100.9820427637874,NLRX1,NLR family member X1
ENSG00000151715,2.455529270639178,2.2377837756351573,2.6732747656431988,6.0633652225859285,22.287224894709805,7.387536576500547e-49,7.792507899739622e-46,100.77279229295874,TMEM45B,transmembrane protein 45B
ENSG00000077684,-1.448821478845407,-1.5774651572409661,-1.320177800449848,4.856761727293417,-22.25801776454732,8.568550151905275e-49,8.645294557613643e-46,100.58776447672449,JADE1,jade family PHD finger 1
ENSG00000184182,1.732069257062319,1.5777588562528684,1.8863796578717698,4.999601422820338,22.18350227905924,1.2515244232655217e-48,1.1863737452546733e-45,100.24532348045625,UBE2F,ubiquitin conjugating enzyme E2 F (putative)
ENSG00000165389,1.8671862018040057,1.7007734916908213,2.0335989119171902,5.784257028089167,22.174875723401538,1.3076950413252468e-48,1.1863737452546733e-45,100.20373891530545,SPTSSA,serine palmitoyltransferase small subunit A
ENSG00000172243,4.098466583666497,3.73313849521009,4.463794672122903,3.634703298901149,22.1716693144516,1.3292130214867494e-48,1.1863737452546733e-45,99.96031968641073,CLEC7A,C-type lectin domain containing 7A
ENSG00000189182,-5.2655371398030155,-5.735781352780116,-4.7952929268259155,7.0301297969051655,-22.12989122644694,1.6443742264601638e-48,1.413309196267947e-45,99.95483184855702,KRT77,keratin 77
ENSG00000272398,3.13816063247629,2.8575359862894323,3.418785278663148,7.919201007747679,22.100872429565072,1.9065195223169573e-48,1.5800961441031182e-45,99.79577733087807,CD24,CD24 molecule
ENSG00000100596,1.8117383679256216,1.649058396953644,1.974418338897599,7.032829419056595,22.01007153118018,3.030740754590159e-48,2.3443789983673077e-45,99.34882620452856,SPTLC2,serine palmitoyltransferase long chain base subunit 2
ENSG00000115919,5.757882940566331,5.2425843685820706,6.273181512550591,2.4002437136773573,22.083298910992763,2.0852929207928412e-48,1.6686657765489198e-45,99.2305607426649,KYNU,kynureninase
ENSG00000008311,2.2469070829006723,2.044267415185293,2.4495467506160518,4.784053340136531,21.913952058113576,4.9560699698746725e-48,3.710018055513279e-45,98.87421602805036,AASS,aminoadipate-semialdehyde synthase
ENSG00000135373,2.4522257617935486,2.230320559940253,2.674130963646844,8.410819989152925,21.84001971968393,7.240468549976854e-48,5.091585247598875e-45,98.45509737561557,EHF,ETS homologous factor
ENSG00000188089,2.025447806668047,1.8419892520309644,2.208906361305129,7.224789716108885,21.819417251165262,8.048158127128549e-48,5.493104632298385e-45,98.37165698557739,PLA2G4E,phospholipase A2 group IVE
ENSG00000172382,4.712793095187088,4.287499033681803,5.138087156692373,2.0602106142051513,21.90025206246159,5.3164465173977274e-48,3.8554205588353645e-45,98.167329350326,PRSS27,serine protease 27
ENSG00000153048,3.050217909583299,2.7733658803870096,3.327069938779588,4.86264562092563,21.774250467451317,1.0150082614019992e-47,6.542856031692998e-45,98.15961318755457,CARHSP1,calcium regulated heat stable protein 1
ENSG00000181938,1.9392584053097877,1.763313854687054,2.1152029559325216,2.934349904446362,21.7831118112567,9.69817368244433e-48,6.430166242137233e-45,98.02527330241183,GINS3,GINS complex subunit 3
ENSG00000172201,-2.366075502052449,-2.5813297840752565,-2.1508212200296413,6.979019776014319,-21.723853129264914,1.3153589820368464e-47,8.24978933436407e-45,97.90261223304256,ID4,inhibitor of DNA binding 4
ENSG00000070778,-2.5359672387541723,-2.767246381782484,-2.3046880957258606,6.415010282643284,-21.67041497482147,1.7320605830277051e-47,1.0577420497300245e-44,97.6319079981937,PTPN21,protein tyrosine phosphatase non-receptor type 21
ENSG00000064309,-2.162909981790876,-2.3602142136174504,-1.9656057499643018,6.284487232485737,-21.66517010496071,1.7795167169359342e-47,1.0588580752106484e-44,97.60531289544898,CDON,"cell adhesion associated, oncogene regulated"
ENSG00000101084,1.6227490752074383,1.4746815765273074,1.7708165738875692,5.582266228630532,21.659662690372965,1.8307553381147093e-47,1.0617851564013645e-44,97.57565728982875,RAB5IF,RAB5 interacting factor
ENSG00000121316,2.235125434666731,2.031137196874991,2.439113672458471,6.225695766491195,21.65493243350095,1.875945506009478e-47,1.0617851564013645e-44,97.54443938304564,PLBD1,phospholipase B domain containing 1
ENSG00000171124,4.195143887400631,3.8117499932718317,4.57853778152943,1.3289727306877628,21.625279414067425,2.1859191476977234e-47,1.207772374796985e-44,96.48058838852518,FUT3,fucosyltransferase 3 (Lewis blood group)
ENSG00000137975,1.501859451098504,1.363218283912855,1.6405006182841528,8.901993769844655,21.40903758019861,6.689692947687722e-47,3.610256152187006e-44,96.22455109660761,CLCA2,chloride channel accessory 2
ENSG00000108179,1.7178718769437742,1.559031583135196,1.8767121707523524,6.283954501445987,21.374213682905047,8.014474541317405e-47,4.2269067319502657e-44,96.09512616835954,PPIF,peptidylprolyl isomerase F
ENSG00000169129,2.3185801749151214,2.103766035871188,2.5333943139590547,4.917828853107512,21.33139773726274,1.0010218034749152e-46,5.15355323270941e-44,95.88294712387193,AFAP1L2,actin filament associated protein 1 like 2
ENSG00000261609,-2.337598315098692,-2.5542141576839317,-2.120982472513452,9.743679913525586,-21.327489055822642,1.0215610131200244e-46,5.15355323270941e-44,95.80434855511348,GAN,gigaxonin
ENSG00000102886,2.637676131246223,2.3931131695076377,2.8822390929848085,3.565470811254928,21.315270221117075,1.0885393101348418e-46,5.374604942763647e-44,95.73102859974797,GDPD3,glycerophosphodiester phosphodiesterase domain containing 3
ENSG00000254087,2.496155604025397,2.2643667881104794,2.727944419940315,3.8478316230689247,21.283313213515793,1.2853302904794426e-46,6.214036400180404e-44,95.58567463464497,LYN,"LYN proto-oncogene, Src family tyrosine kinase"
ENSG00000150907,-1.2098434572046264,-1.3222574834819307,-1.097429430927322,5.877145074225338,-21.270061016057408,1.377080983935092e-46,6.521743125142397e-44,95.56776167995325,FOXO1,forkhead box O1
ENSG00000057149,6.494867373372107,5.889466058981522,7.100268687762691,7.241834318085986,21.20249581467026,1.9578522009646905e-46,9.086783635117323e-44,95.19663283416759,SERPINB3,serpin family B member 3
ENSG00000173083,2.845859045238189,2.5794810065277805,3.1122370839485978,5.220633188137573,21.114219269979024,3.1032944512647834e-46,1.3587745478500108e-43,94.75819387479562,HPSE,heparanase
ENSG00000084444,-2.077714407317145,-2.272142718051673,-1.8832860965826175,4.64163592229334,-21.11963493841036,3.016742581419783e-46,1.34627939123899e-43,94.74291225300571,FAM234B,family with sequence similarity 234 member B
ENSG00000157368,-3.3968393065834817,-3.7141203834096297,-3.0795582297573336,4.405644834455443,-21.158793011037943,2.4590151114882344e-46,1.1189000917097248e-43,94.73782166394088,IL34,interleukin 34
ENSG00000183479,3.3101471714879755,2.9993603224483,3.6209340205276512,4.082160305949835,21.04964270155946,4.3494109372674396e-46,1.869119077967189e-43,94.38853026256395,TREX2,three prime repair exonuclease 2
