ensgene,logFC,CI.L,CI.R,AveExpr,t,P.Value,adj.P.Val,B,symbol,description
ENSG00000235288,9.368253132967292,8.554091693666857,10.182414572267726,-3.9469979525861443,22.740926068030564,7.480602851446596e-50,8.679743488533486e-46,92.8246934555417,,"novel transcript, antisense to CCBP2"
ENSG00000288681,7.504957086244224,6.871765737010809,8.13814843547764,-4.4652870287242346,23.424660162693474,2.4893108758875226e-51,5.776694818584585e-47,91.94231182256986,,novel protein
ENSG00000105402,1.498771988594263,1.3056410908621754,1.6919028863263506,6.3139230022625465,15.337121817827095,3.053281555607649e-32,1.417089035588622e-28,62.68997419760227,NAPA,NSF attachment protein alpha
ENSG00000257529,7.1860446822316035,6.311898786950314,8.060190577512893,-3.6514075114071294,16.2467332225248,1.4830607012226323e-34,1.1471968877524134e-30,62.546443052771494,RPL36A-HNRNPH2,RPL36A-HNRNPH2 readthrough
ENSG00000030582,1.6134021224386865,1.395917489583175,1.830886755294198,7.484274898751743,14.661354903384034,1.680584024832259e-30,6.499938813376232e-27,58.7571498498473,GRN,granulin precursor
ENSG00000067225,1.9146809085754644,1.651598650213668,2.177763166937261,8.876872473532625,14.383510813853853,8.830019451416863e-30,2.9272775912797105e-26,57.120116750803966,PKM,pyruvate kinase M1/2
ENSG00000285283,5.495871091611399,4.80361734443255,6.188124838790247,-4.487426636432633,15.690301208778312,3.821362716712513e-33,2.2169635801007644e-29,56.41727226512364,,novel protein
ENSG00000116478,1.4260399330777398,1.2273467108320986,1.624733155323381,5.6864409333704815,14.18432563071898,2.911078764437242e-29,8.44431172594133e-26,55.90821080903522,HDAC1,histone deacetylase 1
ENSG00000129235,2.026978272098085,1.74314640165825,2.31081014253792,4.801046570422407,14.113931090982515,4.4406972143714314e-29,1.1450091061855936e-25,55.458039734548215,TXNDC17,thioredoxin domain containing 17
ENSG00000105427,2.977970699049905,2.5561379808837095,3.3998034172161007,6.454320546057958,13.952120467024258,1.1737444868092844e-28,2.7237914560896255e-25,54.55325076478851,CNFN,cornifelin
